host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Antilope cervicapra	Antilope	cervicapra		LC	Cetartiodactyla	Bovidae	Asia	Asia	yes	zoo	no	IV	Flaviviridae	bovine viral diarrhea virus		8	<=10	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Antilope cervicapra	Antilope	cervicapra		LC	Cetartiodactyla	Bovidae	Asia	Asia	yes	zoo	no	I	Herpesviridae	bovine herpesvirus		8	<=10	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Axis axis	Axis	axis		LC	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	I	Herpesviridae	bovine herpesvirus		11	<=50	3	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Axis axis	Axis	axis		LC	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	IV	Flaviviridae	bovine viral diarrhea virus		11	<=50	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Dama dama	Dama	dama		LC	Cetartiodactyla	Cervidae	Europe, Asia	Asia	yes	zoo	no	I	Herpesviridae	bovine herpesvirus		8	<=10	2	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Dama dama	Dama	dama		LC	Cetartiodactyla	Cervidae	Europe, Asia	Asia	yes	zoo	no	IV	Flaviviridae	bovine viral diarrhea virus		8	<=10	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Gazella dorcas	Gazella	dorcas		VU	Cetartiodactyla	Bovidae	Africa, Asia	Asia	yes	zoo	no	IV	Flaviviridae	bovine viral diarrhea virus		3	<=5	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Gazella dorcas	Gazella	dorcas		VU	Cetartiodactyla	Bovidae	Africa, Asia	Asia	yes	zoo	no	I	Herpesviridae	bovine herpesvirus		3	<=5	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Hydropotes inermis	Hydropotes	inermis		VU	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	IV	Flaviviridae	bovine viral diarrhea virus		4	<=5	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
Hydropotes inermis	Hydropotes	inermis		VU	Cetartiodactyla	Cervidae	Asia	Asia	yes	zoo	no	I	Herpesviridae	bovine herpesvirus		4	<=5	0	captive	2014	2014	2014	1	not_specified	Mahmoud, 2015	2015	6	BP	ok	2022
