host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	zoo_type	vaccine	v_class	v_fam	v_sp	v_strain	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	number_faciliti	blodd_collection	paper_ID	pub_year	paper_per_year	reviewer	issue	search
Callithrix jacchus	Callithrix	jacchus		LC	Primates	Callitrichidae	South America	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Cercocebus atys	Cercocebus	atys		VU	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		5	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Cercopithecus hamlyni	Cercopithecus	hamlyni		VU	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Cercopithecus mona	Cercopithecus	mona		NT	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	1	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Cercopithecus neglectus	Cercopithecus	neglectus		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		10	<=10	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Eulemur fulvus	Eulemur	fulvus		VU	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Eulemur fulvus albifrons	Eulemur	fulvus	albifrons	VU	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Bos taurus	Bos	taurus		NA	Cetartiodactyla	Bovidae	"Africa; Europe; Asia"	Europe	yes			III	Reoviridae	bluetongue virus		3	<=5	0	domestic	2007-2019	2007	2019			Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Eulemur macaco	Eulemur	macaco		EN	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		4	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Eulemur mongoz	Eulemur	mongoz		CR	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Eulemur rubriventer	Eulemur	rubriventer		VU	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		4	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Gorilla gorilla gorilla	Gorilla	gorilla	gorilla	CR	Primates	Hominidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		5	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Hylobates lar	Hylobates	lar		EN	Primates	Hylobatidae	Asia	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		3	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Hylobates muelleri	Hylobates	muelleri		EN	Primates	Hylobatidae	Asia	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Lemur catta	Lemur	catta		EN	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		20	<=50	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Leontopithecus rosalia	Leontopithecus	rosalia		EN	Primates	Callitrichidae	South America	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Macaca fuscata	Macaca	fuscata		LC	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Macaca sylvanus	Macaca	sylvanus		EN	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		9	<=10	1	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Mandrillus leucophaeus	Mandrillus	leucophaeus		EN	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Mandrillus sphinx	Mandrillus	sphinx		VU	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		7	<=10	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Miopithecus ogouensis	Miopithecus	ogouensis		NT	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		16	<=50	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Nomascus gabriellae	Nomascus	gabriellae		EN	Primates	Hylobatidae	Asia	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		3	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Nycticebus pygmaeus	Nycticebus	pygmaeus		EN	Primates	Lorisidae	Asia	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Pan troglodytes	Pan	troglodytes		EN	Primates	Hominidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		17	<=50	3	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Pan troglodytes	Pan	troglodytes		EN	Primates	Hominidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		8	<=10	1	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Papio anubis	Papio	anubis		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		8	<=10	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Papio cynocephalus	Papio	cynocephalus		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Papio hamadryas	Papio	hamadryas		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Pongo pygmaeus	Pongo	pygmaeus		CR	Primates	Hominidae	Asia	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		11	<=50	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Saguinus midas	Saguinus	midas		LC	Primates	Callitrichidae	South America	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		1	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Sapajus apella	Sapajus	apella		LC	Primates	Cebidae	South America	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	1	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Lama glama	Lama	glama		NA	Cetartiodactyla	Camelidae	South America	Europe	no			III	Reoviridae	bluetongue virus		1	<=5	1	domestic	2007-2019	2007	2019			Caballero Gomez et al, 2021	2021	2	PVL	ok	2022
Varecia rubra	Varecia	rubra		CR	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		2	<=5	0	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Varecia variegata	Varecia	variegata		CR	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Caliciviridae	hepatitis e virus		7	<=10	1	captive	2002-2018	2002	2018	8	not_specified	Caballero Gomez et al, 2019	2019	3	PVL	ok	2022
Aepyceros melampus	Aepyceros	melampus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		9	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Ailuropoda melanoleuca	Ailuropoda	melanoleuca		VU	Carnivora	Ursidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	2	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Ailurus fulgens fulgens	Ailurus	fulgens	fulgens	EN	Carnivora	Ailuridae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Alces alces	Alces	alces		LC	Cetartiodactyla	Cervidae	"Europe; Asia; North America"	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		17	<=50	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Aonyx cinereus	Aonyx	cinereus		VU	Carnivora	Mustelidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Arctictis binturong	Arctictis	binturong		VU	Carnivora	Viverridae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Babyrousa babyrussa	Babyrousa	babyrussa		VU	Cetartiodactyla	Suidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Bos javanicus	Bos	javanicus		EN	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Bos mutus	Bos	mutus		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Boselaphus tragocamelus	Boselaphus	tragocamelus		LC	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Budorcas taxicolor	Budorcas	taxicolor		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Budorcas taxicolor	Budorcas	taxicolor		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Callithrix jacchus	Callithrix	jacchus		LC	Primates	Callitrichidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Camelus dromedarius	Camelus	dromedarius		LC	Cetartiodactyla	Camelidae	"Africa; Asia"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Canis lupus signatus	Canis	lupus	signatus	EN	Carnivora	Canidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		19	<=50	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Capra aegagrus hircus	Capra	aegagrus	hircus	NT	Cetartiodactyla	Bovidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Capra pyrenaica	Capra	pyrenaica		LC	Cetartiodactyla	Bovidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		10	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Cephalophus natalensis	Cephalophus	natalensis		LC	Cetartiodactyla	Bovidae	"North America; South America"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Ceratotherium simum	Ceratotherium	sinum		NT	Perissodactyla	Rhinocerotidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	2	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Cercocebus atys	Cercocebus	atys		VU	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Cercopithecus hamlyni	Cercopithecus	hamlyni		VU	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Cercopithecus mona	Cercopithecus	mona		NT	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Cercopithecus neglectus	Cercopithecus	neglectus		LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		10	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Cervus elaphus hispanicus	Cervus	elaphus	hispanicus	LC	Cetartiodactyla	Cervidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		13	<=50	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Colobus guereza kikuyuensis	Colobus	gueresa	kikuyuensis	LC	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		10	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Connochaetes gnou	Connochaetes	gnou		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Crocuta crocuta	Crocuta	crocuta		LC	Carnivora	Hyaenidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		6	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Cryptoprocta ferox	Cryptoprocta	ferox		VU	Carnivora	Eupleridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Cuon alpinus	Cuon	alpinus		EN	Carnivora	Canidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Dama dama	Dama	dama		LC	Cetartiodactyla	Cervidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Damaliscus pygargus	Damaliscus	pygargus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		7	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Dasypus novemcinctus	Dasypus	novemcinctus		LC	Cingulata	Dasypodidae	"North America; South America"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Dolichotis patagonum	Dolichotis	patagonum		NT	Rodentia	Caviidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		7	<=10	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Elephas maximus	Elephas	maximus		EN	Proboscidea	Elephantidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	1	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Equus quagga boehmi	Equus	quagga	boehmi	NT	Perissodactyla	Equidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Erythrocebus patas	Erythrocebus	patas		NT	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Eudorcas thomsonii	Eudorcas	thomsonii		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		13	<=50	5	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Eulemur fulvus	Eulemur	fulvus		VU	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Eulemur fulvus albifrons	Eulemur	fulvus	albifrons	VU	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Eulemur macaco	Eulemur	macaco		EN	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Eulemur mongoz	Eulemur	mongoz		CR	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Eulemur rubriventer	Eulemur	rubriventer		VU	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Gazella dorcas	Gazella	dorcas		VU	Cetartiodactyla	Bovidae	"Africa; Asia"	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Genetta genetta	Genetta	genetta		LC	Carnivora	Viverridae	"Europe; Africa; Asia"	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Giraffa camelopardalis rothschieldii	Giraffa	camelopardalis	rothschieldii	VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Gorilla gorilla gorilla	Gorilla	gorilla	gorilla	CR	Primates	Hominidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		5	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Helarctos malayanus	Helarctos	malayanus		VU	Carnivora	Ursidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Helogale parvula undulatus	Helogale	parvula	undulatus	LC	Carnivora	Herpestidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Hydrictis maculicollis	Hydrictis	maculicollis		NT	Carnivora	Mustelidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		2	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Hydrochoerus hydrochaeris	Hydrochoerus	hydrochaeris		LC	Rodentia	Caviidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Hylobates lar	Hylobates	lar		EN	Primates	Hylobatidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Hylobates muelleri	Hylobates	muelleri		EN	Primates	Hylobatidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Equus africanus	Equus	africanus		CR	Perissodactyla	Equidae	Africa	Europe	no			IV	Flaviviridae	flaviviruses		2	<=5	0	domestic	2002-2019	2002	2019			Constant et al, 2020	2020	3	PVL	ok	2022
Hystrix africaeaustralis	Hystrix	africaeaustralis		LC	Rodentia	Hystricidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Hystrix cristata	Hystrix	cristata		LC	Rodentia	Hystricidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Lemur catta	Lemur	catta		EN	Primates	Lemuridae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		20	<=50	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Leontopithecus rosalia	Leontopithecus	rosalia		EN	Primates	Callitrichidae	South America	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Leptailurus serval	Leptailurus	serval		LC	Carnivora	Felidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Lophocebus aterrimus	Lophocebus	aterrimus		VU	Primates	Cercopithecidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		3	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		11	<=50	3	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Lutra lutra	Lutra	lutra		NT	Carnivora	Mustelidae	Europe	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Lynx lynx	Lynx	lynx		LC	Carnivora	Felidae	"Europe; Asia"	Europe	yes	zoo	no	IV	Flaviviridae	flaviviruses		16	<=50	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Macaca fuscata	Macaca	fuscata		LC	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		1	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Macaca sylvanus	Macaca	sylvanus		EN	Primates	Cercopithecidae	Asia	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		12	<=50	1	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
Macropus rufogriseus	Macropus	rufogriseus		LC	Diprotodontia	Macropodidae	Oceania	Europe	no	zoo	no	IV	Flaviviridae	flaviviruses		4	<=5	0	captive	2002-2019	2002	2019	5	anesthetized	Caballero Gomez et al, 2020 a	2020	1	PVL	ok	2022
