host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	v_class	v_fam	v_sp	v_strain	seroprevalence	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	paper_ID	pub_year	paper_per_year	reviewer
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	3	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Macropus rufus	Macropus	rufus		LC	Diprotodontia	Macropodidae	Oceania	Europe	no	IV	Caliciviridae	hepatitis e virus		0	2	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Mungos mungo	Mungos	mungo		LC	Carnivora	Herpestidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Nasua nasua	Nasua	nasua		LC	Carnivora	Procyonidae	"North America; South America"	Europe	no	IV	Caliciviridae	hepatitis e virus		0	5	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Okapia johnstoni	Okapia	johnstoni		EN	Cetartiodactyla	Giraffidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	3	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Pecari tajacu	Pecari	tajacu		LC	Cetartiodactyla	Tayassuidae	"North America; South America"	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Phacochoerus africanus	Phacochoerus	africanus		LC	Cetartiodactyla	Suidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		100	1	<=5	1	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Potamochoerus porcus pictus	Potamochoerus	porcus	pictus	LC	Cetartiodactyla	Suidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		50	2	<=5	1	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Potamochoerus porcus pictus	Potamochoerus	porcus	pictus	LC	Cetartiodactyla	Suidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		50	4	<=5	2	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Pteropus giganteus	Pteropus	giganteus		LC	Chiroptera	Pteropodidae	Asia	Europe	no	IV	Caliciviridae	hepatitis e virus		0	4	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Rattus norvegicus	Rattus	norvegicus		LC	Rodentia	Muridae	"North America; Europe; Asia; Africa; South America; Oceania"	Europe	yes	IV	Caliciviridae	hepatitis e virus		31.25	16	<=50	5	wild	2009-2010	2009	2010	Spahr et al, 2017	2017	3	JV
Rattus norvegicus	Rattus	norvegicus		LC	Rodentia	Muridae	"North America; Europe; Asia; Africa; South America; Oceania"	Europe	yes	IV	Caliciviridae	hepatitis e virus		5.263157895	57	>50	3	wild	2010-2016	2010	2016	Spahr et al, 2017	2017	3	JV
Rattus norvegicus forma domestica	Rattus	norvegicus	forma domestica	LC	Rodentia	Muridae	"North America; Europe; Asia; Africa; South America; Oceania"	Europe	yes	IV	Caliciviridae	hepatitis e virus		0	20	<=50	0	domestic	2017	2017	2017	Spahr et al, 2017	2017	3	JV
Rhinoceros unicornis	Rhinoceros	unicornis		VU	Perissodactyla	Rhinocerotidae	Asia	Europe	no	IV	Caliciviridae	hepatitis e virus		0	3	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Speothos venaticus	Speothos	venaticus		NT	Carnivora	Canidae	"North America; South America"	Europe	no	IV	Caliciviridae	hepatitis e virus		0	3	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Suricata suricatta	Suricata	suricatta		LC	Carnivora	Herpestidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	3	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Sus scrofa	Sus	scrofa		LC	Cetartiodactyla	Suidae	Europe	Europe	yes	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Sus scrofa forma domestica	Sus	scrofa	forma domestica	LC	Cetartiodactyla	Suidae	Europe	Europe	yes	IV	Caliciviridae	hepatitis e virus		45.45454545	11	<=50	5	domestic	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Sus scrofa scrofa kunekune	Sus	scrofa	scrofa kunekune	LC	Cetartiodactyla	Suidae	Oceania	Europe	no	IV	Caliciviridae	hepatitis e virus		0	2	<=5	0	domestic	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Tapirus indicus	Tapirus	indicus		EN	Perissodactyla	Tapiridae	Asia	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Tremarctos ornatus	Tremarctos	ornatus		VU	Carnivora	Ursidae	"North America; South America"	Europe	no	IV	Caliciviridae	hepatitis e virus		0	2	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Ursus arctos syriacus	Ursus	arctos	syriacus	LC	Carnivora	Ursidae	Asia	Europe	no	IV	Caliciviridae	hepatitis e virus		25	4	<=5	1	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Ursus maritimus	Ursus	maritimus		VU	Carnivora	Ursidae	"North America; Europe; Asia"	Europe	yes	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Vicugna vicugna	Vicugna	vicugna		LC	Cetartiodactyla	Camelidae	South America	Europe	no	IV	Caliciviridae	hepatitis e virus		0	2	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Vulpes zerda	Vulpes	zerda		LC	Carnivora	Canidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2000-2016	2000	2016	Spahr et al, 2017	2017	3	JV
Ceratotherium sinum	Ceratotherium	sinum		NT	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	31.2	26	<=50	8	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Ceratotherium sinum	Ceratotherium	sinum		NT	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	65.6	26	<=50	17	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	6	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	16.6	6	<=10	1	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	41.1	17	<=50	7	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Diceros bicornis	Diceros	bicornis		CR	Perissodactyla	Rhinocerotidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	65.6	17	<=50	11	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus africanus asinus	Equus	africanus	asinus	CR	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	33.3	12	<=50	4	domestic		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus africanus asinus	Equus	africanus	asinus	CR	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	12	<=50	0	domestic		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus africanus somalicus	Equus	africanus	somalicus	CR	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	73.6	19	<=50	14	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus africanus somalicus	Equus	africanus	somalicus	CR	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	65.6	19	<=50	12	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus ferus caballus	Equus	ferus	caballus	EN	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes	I	Herpesviridae	equine herpesvirus	1	0	4	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus ferus caballus	Equus	ferus	caballus	EN	Perissodactyla	Equidae	"Europe; Asia; Africa; Northern America; South America; Oceania"	Europe	yes	I	Herpesviridae	equine herpesvirus	9	0	4	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus grevyi	Equus	grevyi		EN	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	64.7	17	<=50	11	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus grevyi	Equus	grevyi		EN	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	47	17	<=50	8	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus hemionus onager	Equus	hemionus	onager	NT	Perissodactyla	Equidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	5	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus hemionus onager	Equus	hemionus	onager	NT	Perissodactyla	Equidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	5	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus kiang	Equus	kiang		LC	Perissodactyla	Equidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	3	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus kiang	Equus	kiang		LC	Perissodactyla	Equidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	3	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	56.4	39	<=50	22	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	25.6	39	<=50	10	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	56.4	41	<=50	23	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus quagga	Equus	quagga		NT	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	25.6	41	<=50	10	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus zebra hartmannae	Equus	zebra	hartmannae	VU	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	66.6	33	<=50	22	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Equus zebra hartmannae	Equus	zebra	hartmannae	VU	Perissodactyla	Equidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	24.2	33	<=50	8	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Erythrocebus patas	Erythrocebus	patas		NT	Primates	Cercopithecidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Erythrocebus patas	Erythrocebus	patas		NT	Primates	Cercopithecidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Giraffa camelopardalis	Giraffa	camelopardalis		VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	10	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Giraffa camelopardalis	Giraffa	camelopardalis		VU	Cetartiodactyla	Giraffidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	10	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Hippopotamus amphibious	Hippopotamus	amphibious		VU	Cetartiodactyla	Hippopotamidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Hippopotamus amphibious	Hippopotamus	amphibious		VU	Cetartiodactyla	Hippopotamidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	10	<=10	0	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Loxodonta africana	Loxodonta	africana		EN	Proboscidea	Elephantidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	10	<=10	0	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Okapia johnstoni	Okapia	johnstoni		EN	Cetartiodactyla	Giraffidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	8	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Okapia johnstoni	Okapia	johnstoni		EN	Cetartiodactyla	Giraffidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	8	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Papio hamadryas	Papio	hamadryas		LC	Primates	Cercopithecidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Papio hamadryas	Papio	hamadryas		LC	Primates	Cercopithecidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Ursus maritimus	Ursus	maritimus		VU	Carnivora	Ursidae	"North America; Europe; Asia"	Europe	yes	I	Herpesviridae	equine herpesvirus	1	0	7	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Ursus maritimus	Ursus	maritimus		VU	Carnivora	Ursidae	"North America; Europe; Asia"	Europe	yes	I	Herpesviridae	equine herpesvirus	9	0	7	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Ursus thibetanus	Ursus	thibetanus		VU	Carnivora	Ursidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	8	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Ursus thibetanus	Ursus	thibetanus		VU	Carnivora	Ursidae	Asia	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	8	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Addax nasomaculatus	Addax	nasomaculatus		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	2	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Addax nasomaculatus	Addax	nasomaculatus		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	2	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Alces alces alces	Alces	alces	alces	LC	Cetartiodactyla	Cervidae	"Europe; Asia; North America"	Europe	yes	I	Herpesviridae	equine herpesvirus	1	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Alces alces alces	Alces	alces	alces	LC	Cetartiodactyla	Cervidae	"Europe; Asia; North America"	Europe	yes	I	Herpesviridae	equine herpesvirus	9	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Antidorcas marsupialis	Antidorcas	marsupialis		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	20	<=50	0	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Antidorcas marsupialis	Antidorcas	marsupialis		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	4.7	20	<=50	1	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Connochaetes gnou	Connochaetes	gnou		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	22	<=50	0	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Connochaetes gnou	Connochaetes	gnou		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	22	<=50	0	wild		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Hippotragus niger	Hippotragus	niger		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	12	<=50	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Hippotragus niger	Hippotragus	niger		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	12	<=50	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Kobus megaceros	Kobus	megaceros		EN	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	7	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Kobus megaceros	Kobus	megaceros		EN	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	7	<=10	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Ovibos moschatus	Ovibos	moschatus		LC	Cetartiodactyla	Bovidae	North America	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Ovibos moschatus	Ovibos	moschatus		LC	Cetartiodactyla	Bovidae	North America	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Panthera leo krugeri	Panthera	leo	krugeri	VU	Carnivora	Felidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Panthera leo krugeri	Panthera	leo	krugeri	VU	Carnivora	Felidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	1	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Tragelaphus imberbis	Tragelaphus	imberbis		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	38,46	13	<=50	5	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Tragelaphus imberbis	Tragelaphus	imberbis		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	13	<=50	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Tragelaphus oryx	Tragelaphus	oryx		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	1	0	2	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Tragelaphus oryx	Tragelaphus	oryx		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	equine herpesvirus	9	0	2	<=5	0	captive		2012	2014	Abdelgawad et al, 2016	2016	1	PVL
Elephas maximus	Elephas	maximus		EN	Proboscidea	Elephantidae	Asia	Asia	yes	I	Herpesviridae	elephant endotheliotropic herpesvirus		32.4	994	>50	322	domestic	2010-2015	2010	2015	Angkawanish et al, 2019	2019	0	PVL
Leopardus pardalis	Leopardus	pardalis		LC	Carnivora	Felidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			4	<=5	3	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Leopardus wiedii	Leopardus	wiedii		NT	Carnivora	Felidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			4	<=5	3	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Puma concolor	Puma	concolor		LC	Carnivora	Felidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			2	<=5	0	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Panthera onca	Panthera	onca		NT	Carnivora	Felidae	"South America; Northern America"	South America	yes	IV	Caliciviridae	hepatitis a virus			1	<=5	0	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Pecari tajacu	Pecari	tajacu		LC	Cetartiodactyla	Tayassuidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			2	<=5	0	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Saimiti sciureus	Saimiti	sciureus		LC	Primates	Cebidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			2	<=5	2	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Saguinus niger	Saguinus	niger		VU	Primates	Cebidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			2	<=5	0	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Cebus albifrons	Cebus	albifrons		LC	Primates	Cebidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			2	<=5	1	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Sapajus apella	Sapajus	apella		LC	Primates	Cebidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			15	<=50	9	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Callithrix jacchus	Callithrix	jacchus		LC	Primates	Cebidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			1	<=5	0	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Leontopithecus chrysopygus	Leontopithecus	chrysopygus		EN	Primates	Cebidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			3	<=5	0	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Aoutus azarae	Aoutus	azarae		LC	Primates	Aotidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			1	<=5	1	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Alouatta belzebul	Alouatta	belzebul		VU	Primates	Aotidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			2	<=5	0	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Ateles marginatus	Ateles	marginatus		EN	Primates	Atelidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			1	<=5	1	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Ateles paniscus	Ateles	paniscus		VU	Primates	Atelidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			9	<=10	5	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Chiropotes albinasus	Chiropotes	albinasus		VU	Primates	Pitheciidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			4	<=5	2	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Chiropotes satanas	Chiropotes	satanas		EN	Primates	Pitheciidae	South America	South America	yes	IV	Caliciviridae	hepatitis a virus			1	<=5	0	captive	2016-2017	2016	2017	Bernal et al, 2021	2021	1	PVL
Callithrix jacchus	Callithrix	jacchus		LC	Primates	Callitrichidae	South America	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Cercocebus atys	Cercocebus	atys		VU	Primates	Cercopithecidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	5	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Cercopithecus hamlyni	Cercopithecus	hamlyni		VU	Primates	Cercopithecidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	2	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Cercopithecus mona	Cercopithecus	mona		NT	Primates	Cercopithecidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		50	2	<=5	1	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Cercopithecus neglectus	Cercopithecus	neglectus		LC	Primates	Cercopithecidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	10	<=10	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Eulemur fulvus	Eulemur	fulvus		VU	Primates	Lemuridae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	2	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Eulemur fulvus albifrons	Eulemur	fulvus	albifrons	VU	Primates	Lemuridae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Eulemur macaco	Eulemur	macaco		EN	Primates	Lemuridae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	4	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Eulemur mongoz	Eulemur	mongoz		CR	Primates	Lemuridae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Eulemur rubriventer	Eulemur	rubriventer		VU	Primates	Lemuridae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	4	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Gorilla gorilla gorilla	Gorilla	gorilla	gorilla	CR	Primates	Hominidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	5	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Hylobates lar	Hylobates	lar		EN	Primates	Hylobatidae	Asia	Europe	no	IV	Caliciviridae	hepatitis e virus		0	3	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Hylobates muelleri	Hylobates	muelleri		EN	Primates	Hylobatidae	Asia	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Lemur catta	Lemur	catta		EN	Primates	Lemuridae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	20	<=50	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Leontopithecus rosalia	Leontopithecus	rosalia		EN	Primates	Callitrichidae	"North America; South America"	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Macaca fuscata	Macaca	fuscata		LC	Primates	Cercopithecidae	Asia	Europe	no	IV	Caliciviridae	hepatitis e virus		0	1	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Macaca sylvanus	Macaca	sylvanus		EN	Primates	Cercopithecidae	Asia	Europe	no	IV	Caliciviridae	hepatitis e virus		22.2	9	<=10	1	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
Mandrillus leucophaeus	Mandrillus	leucophaeus		EN	Primates	Cercopithecidae	Africa	Europe	no	IV	Caliciviridae	hepatitis e virus		0	2	<=5	0	captive	2002-2018	2002	2018	Caballero Gomez et al, 2019	2019	1	PVL
