host_genus_species	host_genus	host_sp	host_subsp	host_status_2021	host_order	host_fam	host_continent	zoo_loc2	same_continent	v_class	v_fam	v_sp	v_strain	seroprevalence	sample_size	sample_size_class	positive_sample	host_pop	collection_year_range	collection_firstyear	collection_lastyear	paper_ID	pub_year	paper_per_year	reviewer
Addax nasomaculatus	Addax	nasomaculatus		CR	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		15.3846154	13	<=50	2	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Aepyceros melampus	Aepyceros	melampus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		4.76190476	21	<=50	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Alcelaphus buselaphus	Alcelaphus	buselaphus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		75	4	<=5	3	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Ammotragus lervia	Ammotragus	lervia		VU	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		73.1707317	41	<=50	30	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Antidorcas marsupialis	Antidorcas	marsupialis		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	17	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Antilope cervicapra	Antilope	cervicapra		LC	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		2.22222222	45	<=50	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Axis axis	Axis	axis		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	16	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Bison bison	Bison	bison		NT	Cetartiodactyla	Bovidae	North America	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		14.2857143	14	<=50	2	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Bison bonasus	Bison	bonasus		NT	Cetartiodactyla	Bovidae	Europe	Europe	yes	I	Herpesviridae	malignant catarrhal fever virus		6.25	16	<=50	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Bos grunniens	Bos	grunniens		NA	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		100	2	<=5	2	domestic	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Bos taurus	Bos	taurus		NA	Cetartiodactyla	Bovidae	"Africa; Europe; Asia"	Europe	yes	I	Herpesviridae	malignant catarrhal fever virus		13.1578947	38	<=50	5	domestic	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Budorcas taxicolor	Budorcas	taxicolor		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	11	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Capra aegagrus	Capra	aegagrus		NT	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		88.8888889	9	<=10	8	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Capra falconeri	Capra	falconeri		NT	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		81.8181818	11	<=50	9	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Capra hircus	Capra	hircus		NA	Cetartiodactyla	Bovidae	"Asia; Europe; Africa"	Europe	yes	I	Herpesviridae	malignant catarrhal fever virus		68.8888889	45	<=50	31	domestic	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Capra ibex	Capra	ibex		LC	Cetartiodactyla	Bovidae	Europe	Europe	yes	I	Herpesviridae	malignant catarrhal fever virus		20	15	<=50	3	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Cervus elaphus	Cervus	elaphus		LC	Cetartiodactyla	Cervidae	"Europe; Asia; Africa"	Europe	yes	I	Herpesviridae	malignant catarrhal fever virus		50	14	<=50	7	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Cervus nippon	Cervus	nippon		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		25	36	<=50	9	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Connochaetes taurinus	Connochaetes	taurinus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		25	4	<=5	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Damaliscus pygargus	Damaliscus	pygargus		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	14	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Elaphurus davidianus	Elaphurus	davidianus		EW	Cetartiodactyla	Cervidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		33.3333333	9	<=10	3	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Gazella subgutturosa	Gazella	subgutturosa		VU	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	18	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Hemitragus jemlahicus	Hemitragus	jemlahicus		NT	Cetartiodactyla	Bovidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		83.3333333	6	<=10	5	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Hippotragus niger	Hippotragus	niger		LC	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		53.8461538	13	<=50	7	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Kobus leche	Kobus	leche		NT	Cetartiodactyla	Bovidae	Africa	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		13.3333333	15	<=50	2	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Moschus moschiferus	Moschus	moschiferus		VU	Cetartiodactyla	Cervidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		0	12	<=50	0	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
Muntiacus reevesi	Muntiacus	reevesi		LC	Cetartiodactyla	Cervidae	Asia	Europe	no	I	Herpesviridae	malignant catarrhal fever virus		33.3333333	3	<=5	1	captive	1998-2005	1998	2005	Probst et al, 2011	2011	1	BP
